DATE,ORIGIN,DEST,Flight No.,SCH DEP TIME,SCH ARR TIME,STATUS,PRED ARR DELAY (Min.)
2019-3-23,ORD,JFK,OO-3590,13:30,16:42,Ground,2.6731101565741704
2019-3-23,ORD,JFK,OO-3595,06:52,10:11,Ground,21.17820652862158
2019-3-23,ORD,JFK,B6-906,09:43,12:58,Ground,7.85454778360519
2019-3-23,ORD,JFK,B6-1106,18:40,22:00,Ground,4.453128573337683
2019-3-23,ORD,JFK,AA-272,11:51,15:00,Ground,3.439343938543136
2019-3-23,ORD,JFK,9E-5401,18:20,21:37,Ground,-0.4057946369759481
2019-3-23,BOS,JFK,OO-3841,09:10,10:33,Ground,6.006505911337212
2019-3-23,BOS,JFK,B6-117,12:38,14:00,Ground,6.8114874348691625
2019-3-23,BOS,JFK,B6-317,18:58,20:30,Ground,3.6323605231310103
2019-3-23,BOS,JFK,B6-417,15:06,16:30,Ground,3.3648462050977774
2019-3-23,BOS,JFK,B6-917,05:30,06:42,Ground,42.1685588261202
2019-3-23,BOS,JFK,B6-1217,21:15,22:32,Ground,3.498585898155311
2019-3-23,BOS,JFK,B6-2317,07:10,08:28,Ground,5.663407424169958
2019-3-23,BOS,JFK,AA-197,06:20,07:48,Ground,16.75361683716313
2019-3-23,BOS,JFK,9E-5264,17:05,18:30,Ground,-0.694574643472699
2019-3-23,BOS,JFK,MQ-3750,09:42,11:19,Ground,5.840952120903378
2019-3-23,BOS,JFK,AA-1140,11:47,13:08,Ground,3.8255413124345927
2019-3-23,BOS,JFK,MQ-4052,14:42,16:19,Ground,1.584289078762076
2019-3-23,BOS,JFK,DL-1377,19:28,20:49,Ground,1.0680918846997072
2019-3-23,BOS,JFK,DL-1404,14:38,15:55,Ground,5.170097485355515
2019-3-23,BOS,JFK,DL-1135,05:30,06:42,Ground,40.84871143405521
2019-3-23,BOS,JFK,9E-3370,10:59,12:21,Ground,2.5812357984042307
2019-3-23,BOS,JFK,9E-3468,13:20,14:46,Ground,3.3285047958261345
2019-3-23,SEA,JFK,B6-264,22:00,06:20,Ground,3.8479815942157773
2019-3-23,SEA,JFK,AS-18,22:00,06:25,Ground,3.09767244074062
2019-3-23,SEA,JFK,AS-426,13:45,22:20,Ground,-6.639994780971523
2019-3-23,SEA,JFK,AS-628,07:05,15:40,Ground,-11.38772735071886
2019-3-23,SEA,JFK,DL-2218,07:40,16:03,Ground,-4.344373274793731
2019-3-23,SEA,JFK,DL-824,22:46,07:00,Ground,3.1170211700926878
2019-3-23,SEA,JFK,DL-1307,11:30,19:52,Ground,-0.9017653681036484
2019-3-23,ATL,JFK,B6-520,10:36,12:54,Ground,4.022115135865113
2019-3-23,ATL,JFK,B6-720,18:19,20:39,Ground,1.982035326206069
2019-3-23,ATL,JFK,DL-1943,19:50,22:10,Ground,-0.9851890510421645
2019-3-23,ATL,JFK,DL-1992,15:10,17:29,Ground,-0.8654250566619481
2019-3-23,ATL,JFK,DL-2475,10:43,13:00,Ground,1.8623717513392994
2019-3-23,ATL,JFK,DL-2486,12:05,14:23,Ground,1.4716687869982017
2019-3-23,ATL,JFK,DL-2498,08:14,10:26,Ground,1.939388446827629
2019-3-23,ATL,JFK,DL-2548,16:20,18:42,Ground,-0.8654250566619481
2019-3-23,ATL,JFK,DL-631,13:45,16:10,Ground,-0.8654250566619481
2019-3-23,SFO,JFK,B6-16,06:30,15:07,Ground,5.663052794491062
2019-3-23,SFO,JFK,B6-516,13:05,21:40,Ground,-2.217696362974034
2019-3-23,SFO,JFK,B6-616,15:48,00:22,Ground,-3.013032500299448
2019-3-23,SFO,JFK,B6-916,20:59,05:29,Ground,-2.445965422496512
2019-3-23,SFO,JFK,AA-166,15:37,00:10,Ground,-1.7701842424766034
2019-3-23,SFO,JFK,AA-234,06:18,14:59,Ground,4.547471725896989
2019-3-23,SFO,JFK,AA-276,23:15,07:49,Ground,-3.580696136152182
2019-3-23,SFO,JFK,AA-16,11:44,20:32,Ground,5.1049778545165285
2019-3-23,SFO,JFK,AS-104,15:25,23:55,Ground,-2.8975592173263425
2019-3-23,SFO,JFK,AS-110,23:15,07:55,Ground,-3.5258621696894266
2019-3-23,SFO,JFK,AS-1005,09:20,17:50,Ground,7.0916471581494
2019-3-23,SFO,JFK,AS-1024,13:30,22:00,Ground,-2.1022230800009276
2019-3-23,SFO,JFK,DL-1415,06:15,14:47,Ground,3.829091054377382
2019-3-23,SFO,JFK,DL-1445,22:20,06:54,Ground,-4.1292752059056665
2019-3-23,SFO,JFK,DL-1466,13:05,21:40,Ground,-3.152442292152017
2019-3-23,SFO,JFK,DL-1359,08:15,16:41,Ground,5.6664762557673045
2019-3-23,CLT,JFK,B6-218,09:56,11:58,Ground,5.4669619956252005
2019-3-23,CLT,JFK,B6-1118,19:50,21:51,Ground,2.12049837671487
2019-3-23,CLT,JFK,9E-5255,14:53,16:57,Ground,-2.3361874722954257
2019-3-23,CLT,JFK,AA-388,09:55,12:04,Ground,2.1983705136182508
2019-3-23,CLT,JFK,DL-2638,17:57,20:10,Ground,-0.7044159008055187
2019-3-23,CLT,JFK,AA-1928,22:01,23:55,Ground,-2.6911605358921933
2019-3-23,CLT,JFK,9E-3361,10:55,12:54,Ground,2.313711684607864
2019-3-23,CLT,JFK,AA-1784,16:20,18:28,Ground,-2.281848412662974
2019-3-23,DEN,JFK,B6-98,23:56,05:41,Ground,4.328055585410221
2019-3-23,DEN,JFK,DL-2928,12:00,17:45,Ground,-0.7688126467641355
2019-3-23,DEN,JFK,DL-639,06:30,12:20,Ground,-2.764392256374926
2019-3-23,LAX,JFK,B6-24,05:30,13:54,Ground,-0.9274198373417246
2019-3-23,LAX,JFK,B6-124,07:30,15:57,Ground,-10.485338961143848
2019-3-23,LAX,JFK,B6-224,08:30,16:57,Ground,-6.214806019013761
2019-3-23,LAX,JFK,B6-424,11:33,20:06,Ground,-6.591889709888193
2019-3-23,LAX,JFK,B6-1224,20:35,04:57,Ground,0.5768312759630425
2019-3-23,LAX,JFK,B6-1424,23:28,08:05,Ground,-4.55484120100084
2019-3-23,LAX,JFK,AA-238,13:00,21:32,Ground,-6.993090763172324
2019-3-23,LAX,JFK,AA-274,12:00,20:31,Ground,-6.922029681051725
2019-3-23,LAX,JFK,AA-2,09:00,17:29,Ground,-6.564222392530611
