DATE,ORIGIN,DEST,Flight No.,SCH DEP TIME,SCH ARR TIME,PRED DEP DELAY (Min.)
2019-3-23,JFK,LAX,B6-123,07:00,10:23,13.759736661888837
2019-3-23,JFK,LAX,B6-523,14:25,17:49,8.449483656848054
2019-3-23,JFK,LAX,B6-1323,15:50,19:25,7.914267167065683
2019-3-23,JFK,LAX,B6-1523,17:35,21:06,11.965056832075366
2019-3-23,JFK,LAX,B6-1623,19:00,22:35,12.400254110986928
2019-3-23,JFK,LAX,B6-1823,22:45,02:06,5.532587818772548
2019-3-23,JFK,LAX,AA-53,16:15,19:51,10.835674718196458
2019-3-23,JFK,LAX,AA-185,21:30,01:01,17.873242165242164
2019-3-23,JFK,LAX,AA-255,10:00,13:26,1.7005008702054818
2019-3-23,JFK,LAX,AA-1,08:00,11:33,2.6452373224471972
2019-3-23,JFK,LAX,AA-33,07:00,10:40,4.136665893875769
2019-3-23,JFK,LAX,AS-1399,07:30,11:00,6.285349482401656
2019-3-23,JFK,LAX,AS-1407,09:30,13:00,5.023920910973086
2019-3-23,JFK,LAX,AS-102,13:00,16:30,11.496892339544512
2019-3-23,JFK,LAX,AS-129,20:15,23:50,13.873754985754985
2019-3-23,JFK,LAX,AS-991,11:30,15:00,5.02293629558847
2019-3-23,JFK,LAX,DL-1666,09:50,13:15,16.058576203833567
2019-3-23,JFK,LAX,DL-1710,07:00,10:21,17.282576203833568
2019-3-23,JFK,LAX,DL-1762,11:40,15:04,15.438035022792388
2019-3-23,JFK,LAX,DL-1785,13:55,17:23,10.25265363255528
2019-3-23,JFK,LAX,DL-2001,18:00,21:30,13.656716541475575
2019-3-23,JFK,LAX,DL-41,15:30,19:08,10.84473133127932
2019-3-23,JFK,LAX,AA-302,18:15,21:54,6.458582390234564
2019-3-23,JFK,LAX,AA-331,09:00,12:38,3.060781358121668
2019-3-23,JFK,ORD,OO-3593,19:29,21:31,36.75194531522117
2019-3-23,JFK,ORD,OO-3604,11:00,12:48,18.484896825396824
2019-3-23,JFK,ORD,B6-105,16:00,18:00,16.220221556221553
2019-3-23,JFK,ORD,B6-1105,07:14,09:08,22.960484126984127
2019-3-23,JFK,ORD,9E-5408,15:38,17:41,15.628222222222224
2019-3-23,JFK,ORD,AA-1414,17:05,19:07,4.792095238095238
2019-3-23,JFK,CVG,MQ-4177,14:58,17:15,10.982831493607353
2019-3-23,JFK,CVG,9E-3443,18:15,20:33,2.328654496268772
2019-3-23,JFK,SFO,B6-415,09:30,13:13,10.762699300699301
2019-3-23,JFK,SFO,B6-615,10:55,14:35,15.193668997668995
2019-3-23,JFK,SFO,B6-915,15:45,19:42,21.296357944045013
2019-3-23,JFK,SFO,B6-1415,20:30,00:15,25.6602735042735
2019-3-23,JFK,SFO,AA-76,07:00,10:40,2.843751803751804
2019-3-23,JFK,SFO,AA-179,11:00,14:37,10.05111111111111
2019-3-23,JFK,SFO,AA-2652,18:30,22:18,24.05311111111111
2019-3-23,JFK,SFO,AA-2215,21:30,01:17,27.81993162393162
2019-3-23,JFK,SFO,AS-623,07:45,11:30,5.9437518037518045
2019-3-23,JFK,SFO,AS-625,09:40,13:25,5.627777777777778
2019-3-23,JFK,SFO,AS-647,11:40,15:25,17.107777777777777
2019-3-23,JFK,SFO,AS-653,16:45,20:30,35.79266666666667
2019-3-23,JFK,SFO,DL-1395,19:20,23:22,31.41071263503521
2019-3-23,JFK,SFO,DL-2946,11:30,15:12,10.029393287715868
2019-3-23,JFK,SFO,DL-2961,08:15,12:05,9.462423590746171
2019-3-23,JFK,SFO,DL-1315,15:55,19:42,20.21652667853633
2019-3-23,JFK,ATL,B6-519,07:22,09:56,16.597177655677655
2019-3-23,JFK,ATL,B6-719,14:58,17:39,14.257878683235822
2019-3-23,JFK,ATL,DL-1444,08:45,11:18,13.532330517153097
2019-3-23,JFK,ATL,DL-1993,17:27,20:08,8.007165671908615
2019-3-23,JFK,ATL,DL-2645,11:46,14:20,13.243751873574453
2019-3-23,JFK,ATL,DL-2648,15:10,17:56,9.327268617367059
2019-3-23,JFK,ATL,DL-2675,19:50,22:32,9.41595633705478
2019-3-23,JFK,ATL,DL-2850,06:25,08:52,22.607306707629288
2019-3-23,JFK,ATL,DL-617,13:25,15:53,5.4298760654745095
2019-3-23,JFK,DEN,B6-97,20:00,22:46,9.104186650581386
